Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/integrations/v2/encounters/update,10,0,50000,53007.70703461021,28163.94108813256,70955.49492351711,284.0,0.12765234253816435,0.0,63000,64000,67000,70000,71000,71000,71000,71000,71000,71000,71000
,Aggregated,10,0,50000,53007.70703461021,28163.94108813256,70955.49492351711,284.0,0.12765234253816435,0.0,63000,64000,67000,70000,71000,71000,71000,71000,71000,71000,71000
