Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/integrations/v2/encounters/update,1370,1370,43000,42858.750945798725,1590.836769901216,69294.70005258918,5345.0,4.139796585622326,4.139796585622326,43000,48000,48000,49000,52000,56000,62000,65000,69000,69000,69000
,Aggregated,1370,1370,43000,42858.750945798725,1590.836769901216,69294.70005258918,5345.0,4.139796585622326,4.139796585622326,43000,48000,48000,49000,52000,56000,62000,65000,69000,69000,69000
