ts,queue,pending,started,failed,finished,workers_busy,workers_idle,rate_jobs_per_sec,trend,status
2026-08-11T17:20:08.593615+00:00,integration_data_parsing_agent_prod,1960,4,40,81,19,35,0.0,-,OK
2026-08-11T17:20:13.648306+00:00,integration_data_parsing_agent_prod,1959,4,40,82,19,35,0.1978360299373394,TURUN,OK
2026-08-11T17:20:18.687061+00:00,integration_data_parsing_agent_prod,1961,4,40,82,17,37,0.0,NAIK,OK
2026-08-11T17:20:23.769627+00:00,integration_data_parsing_agent_prod,1959,4,40,83,18,36,0.19675101120182206,TURUN,OK
2026-08-11T17:20:28.840403+00:00,integration_data_parsing_agent_prod,1959,4,40,82,17,37,-0.1972084746003373,FLAT,OK
2026-08-11T17:20:33.899835+00:00,integration_data_parsing_agent_prod,1960,4,40,81,16,38,-0.19765064536888724,NAIK,OK
2026-08-11T17:20:38.953444+00:00,integration_data_parsing_agent_prod,1961,4,40,82,21,33,0.1978783875048505,NAIK,OK
2026-08-11T17:20:44.074183+00:00,integration_data_parsing_agent_prod,1961,4,40,81,18,36,-0.19528431345553834,FLAT,OK
2026-08-11T17:20:49.114676+00:00,integration_data_parsing_agent_prod,1960,4,40,81,17,37,0.0,TURUN,OK
2026-08-11T17:20:54.188430+00:00,integration_data_parsing_agent_prod,1960,4,40,82,17,37,0.19709272463741837,FLAT,OK
2026-08-11T17:20:59.229394+00:00,integration_data_parsing_agent_prod,1959,4,40,82,19,35,0.0,TURUN,OK
2026-08-11T17:21:04.281182+00:00,integration_data_parsing_agent_prod,1960,4,40,81,17,37,-0.1979497160213374,NAIK,OK
2026-08-11T17:21:09.324734+00:00,integration_data_parsing_agent_prod,1961,4,40,81,16,38,0.0,NAIK,OK
2026-08-11T17:21:14.364429+00:00,integration_data_parsing_agent_prod,1962,4,40,82,14,40,0.19842470625702546,NAIK,JENUH
2026-08-11T17:21:19.403578+00:00,integration_data_parsing_agent_prod,1960,4,40,83,13,41,0.19844620589706713,TURUN,JENUH
2026-08-11T17:21:24.440909+00:00,integration_data_parsing_agent_prod,1962,4,40,84,16,38,0.1985178262059809,NAIK,JENUH
2026-08-11T17:21:29.478394+00:00,integration_data_parsing_agent_prod,1965,4,40,83,14,40,-0.19851175735510873,NAIK,JENUH
