Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/integrations/v2/encounters/update,376,376,41000,37300.788072470394,1363.9867389574647,66163.3916143328,5345.0,3.508855553422459,3.508855553422459,41000,43000,48000,51000,57000,60000,63000,64000,66000,66000,66000
,Aggregated,376,376,41000,37300.788072470394,1363.9867389574647,66163.3916143328,5345.0,3.508855553422459,3.508855553422459,41000,43000,48000,51000,57000,60000,63000,64000,66000,66000,66000
