Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/integrations/v2/encounters/update,122,122,30000,33502.23788896912,13055.886441841722,72748.03765304387,2525.0,1.4419309195546426,1.4419309195546426,30000,36000,40000,44000,58000,66000,70000,72000,73000,73000,73000
,Aggregated,122,122,30000,33502.23788896912,13055.886441841722,72748.03765304387,2525.0,1.4419309195546426,1.4419309195546426,30000,36000,40000,44000,58000,66000,70000,72000,73000,73000,73000
