Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/integrations/v2/encounters/update,6,0,35000,37472.275330374636,25865.57085160166,50084.44714918733,284.1666666666667,0.10060611188842707,0.0,42000,42000,44000,44000,50000,50000,50000,50000,50000,50000,50000
,Aggregated,6,0,35000,37472.275330374636,25865.57085160166,50084.44714918733,284.1666666666667,0.10060611188842707,0.0,42000,42000,44000,44000,50000,50000,50000,50000,50000,50000,50000
